		Sa-	Mono-	Poli-																				
Número do	Descrição dos alimentos	turados	insaturados	insaturados	12:0	14:0	16:0	18:0	20:0	22:0	24:0	Número do	14:1	16:1	18:1	20:1	18:2 n-6	18:3 n-3	20:4	20:5	22:5	22:6	18:1t	18:2t
Alimento		(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	Alimento	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)	(g)
Cereais e derivados																								
54	Pão, trigo, sovado	0.8	0.7	0.7	0.01	0.01	0.66	0.14				54		0.02	0.62	0.01	0.68	0.04					0.06	
55	Pastel, de carne, cru	3.692666667	2.909333333	1.104	0.07266666667	0.1206666667	2.471333333	0.9976666667	0.03333333333	0.014	0.008333333333	55	0.008333333333	0.05033333333	2.822666667	0.014	1.064666667	0.03933333333					0.521	0.07
56	Pastel, de carne, frito	4.831666667	5.877666667	7.596666667		0.1153333333	2.727	1.700666667	0.05766666667	0.09633333333	0.03866666667	56		0.077	5.743	0.03866666667	6.968666667	0.59	0.019				0.5393333333	0.154
59	Pastel, massa, crua	2.1	1.7	0.9	0.02	0.03	1.5	0.49	0.02	0.02	0.01	59		0.01	1.66	0.01	0.91	0.03					0.47	0.05
60	Pastel, massa, frita	6.9	10.1	21.2		0.04	4.92	1.48	0.16	0.2	0.08	60		Tr	9.75	0.33	19.61	1.32						
61	Pipoca, com óleo de soja, sem sal	2.357333333	3.693333333	9.189			1.768	0.4623333333	0.04566666667	0.056	0.02533333333	61			3.667666667	0.02566666667	8.483	0.691						
63	Torrada, pão francês	0.9	0.8	1		0.01	0.63	0.19	0.01	0.01	0.01	63		0.01	0.76	0.01	0.99	0.05					0.38	0.07
Verduras, hortaliças e derivados																								
64	Abóbora, cabotian, cozida	0.1	0.2	0.2		Tr	0.12	0.02	Tr			64		Tr	0.22	Tr	0.15	0.08						
65	Abóbora, cabotian, crua	0.1203333333	0.082	0.04866666667			0.109	0.01133333333				65			0.082		0.035	0.01366666667						
68	Abóbora, moranga, refogada	0.12	0.1913333333	0.447			0.09166666667	0.02833333333	Tr	Tr		68			0.1913333333		0.398	0.049						
70	Abobrinha, italiana, cozida	0.1	Tr	0.1			0.05	Tr	Tr	Tr	Tr	70			Tr		0.03	0.03						
72	Abobrinha, italiana, refogada	0.1333333333	0.1806666667	0.4606666667			0.1046666667	0.02866666667	Tr	Tr	Tr	72			0.1806666667		0.397	0.06366666667						
		Sa-	Mono-	Poli-																				
Número do	Descrição dos alimentos	turados	insaturados	insaturados	12:0	14:0	16:0	18:0	20:0	22:0	24:0	Número do	14:1	16:1	18:1	20:1	18:2 n-6	18:3 n-3	20:4	20:5	22:5	22:6	18:1t	18:2t
